date,max_price,min_price,last_price,last_deal_price,first_price,yesterday_price,value,volume,count
20190918,3630.0,3485.0,3502.0,3511.0,3550.0,3668.0,29307906578.0,8369107,954
20190917,3780.0,3607.0,3668.0,3630.0,3700.0,3793.0,22152830592.0,6040295,967
20190916,3990.0,3685.0,3793.0,3735.0,3884.0,3873.0,34352079278.0,9057509,1432
20190915,3970.0,3832.0,3873.0,3920.0,3970.0,4033.0,27960129656.0,7219046,1387
20190914,4049.0,3910.0,4033.0,3938.0,3995.0,3857.0,37411149948.0,9276939,1605
20190911,3938.0,3766.0,3857.0,3900.0,3899.0,3807.0,18606957584.0,4823999,892
20190908,3823.0,3751.0,3807.0,3819.0,3755.0,3641.0,22270356560.0,5850400,926
20190907,3698.0,3589.0,3641.0,3658.0,3589.0,3569.0,12810710963.0,3518591,774
20190904,3576.0,3406.0,3569.0,3576.0,3406.0,3406.0,25778844026.0,7222573,888
20190903,3540.0,3363.0,3406.0,3402.0,3402.0,3540.0,28721139725.0,8431322,1058
20190902,3723.0,3507.0,3540.0,3507.0,3723.0,3691.0,19777155896.0,5586656,805
20190901,3769.0,3590.0,3691.0,3690.0,3645.0,3594.0,21111266825.0,5719535,783
20190831,3720.0,3460.0,3594.0,3600.0,3650.0,3570.0,22959924113.0,6388233,1128
20190828,3649.0,3564.0,3570.0,3564.0,3649.0,3751.0,49375277204.0,13832527,1217
20190827,3890.0,3627.0,3751.0,3627.0,3810.0,3817.0,28500308713.0,7598891,1054
20190826,3898.0,3670.0,3817.0,3788.0,3749.0,3788.0,16541524073.0,4333382,731
20190825,3950.0,3773.0,3788.0,3807.0,3950.0,3971.0,29883179900.0,7888819,1000
20190824,4089.0,3880.0,3971.0,3920.0,3999.0,3927.0,22552476674.0,5678918,1077
20190821,3955.0,3752.0,3927.0,3938.0,3825.0,3767.0,26857988525.0,6838959,835
20190819,3930.0,3623.0,3767.0,3899.0,3810.0,3801.0,15218661794.0,4039740,647
20190818,3825.0,3677.0,3801.0,3710.0,3800.0,3643.0,28848759540.0,7589205,926
20190817,3678.0,3520.0,3643.0,3678.0,3560.0,3503.0,8218284886.0,2255630,284
20190814,3601.0,3450.0,3503.0,3520.0,3601.0,3487.0,19999625751.0,5708601,624
20190813,3588.0,3360.0,3487.0,3550.0,3550.0,3536.0,12173669776.0,3491203,557
20190811,3650.0,3422.0,3536.0,3540.0,3650.0,3481.0,17220665858.0,4869971,685
20190810,3503.0,3390.0,3481.0,3503.0,3498.0,3337.0,12727450554.0,3656598,528
20190807,3389.0,3300.0,3337.0,3380.0,3389.0,3228.0,17727795339.0,5312972,634
20190806,3289.0,3133.0,3228.0,3289.0,3179.0,3133.0,25936843040.0,8034709,703
20190805,3201.0,3080.0,3133.0,3179.0,3200.0,3112.0,19865571383.0,6341745,560
20190804,3198.0,2997.0,3112.0,3168.0,3000.0,3050.0,20527207281.0,6595525,781
20190803,3080.0,2969.0,3050.0,2980.0,3080.0,2934.0,16449482568.0,5392811,563
20190731,2977.0,2860.0,2934.0,2977.0,2860.0,2836.0,9154295790.0,3119813,332
20190730,2890.0,2816.0,2836.0,2850.0,2866.0,2824.0,7902713575.0,2786573,306
20190729,2855.0,2802.0,2824.0,2821.0,2802.0,2753.0,6713686743.0,2377752,341
20190728,2816.0,2711.0,2753.0,2770.0,2734.0,2734.0,5496644144.0,1996842,242
